suburb,state,postcode,region,city
Sydney,NSW,2000,metro,Sydney
Melbourne,VIC,3000,metro,Melbourne
Brisbane,QLD,4000,metro,Brisbane
Perth,WA,6000,metro,Perth
Adelaide,SA,5000,metro,Adelaide
Alexandria,NSW,2015,metro,Sydney
Annandale,NSW,2038,metro,Sydney
Ashfield,NSW,2131,metro,Sydney
Auburn,NSW,2141,metro,Sydney
Bankstown,NSW,2200,metro,Sydney
Blacktown,NSW,2148,metro,Sydney
Bondi,NSW,2026,metro,Sydney
Botany,NSW,2019,metro,Sydney
Burwood,NSW,2134,metro,Sydney
Campsie,NSW,2194,metro,Sydney
Camperdown,NSW,2050,metro,Sydney
Castle Hill,NSW,2154,metro,Sydney
Chatswood,NSW,2067,metro,Sydney
Cherrybrook,NSW,2126,metro,Sydney
Cremorne,NSW,2090,metro,Sydney
Cronulla,NSW,2230,metro,Sydney
Dee Why,NSW,2099,metro,Sydney
Double Bay,NSW,2028,metro,Sydney
Dulwich Hill,NSW,2203,metro,Sydney
Eastwood,NSW,2122,metro,Sydney
Epping,NSW,2121,metro,Sydney
Fairfield,NSW,2165,metro,Sydney
Five Dock,NSW,2046,metro,Sydney
Fitzroy,VIC,3065,metro,Melbourne
Glebe,NSW,2037,metro,Sydney
Granville,NSW,2142,metro,Sydney
Greenacre,NSW,2190,metro,Sydney
Greystanes,NSW,2145,metro,Sydney
Haymarket,NSW,2000,metro,Sydney
Hornsby,NSW,2077,metro,Sydney
Hurstville,NSW,2220,metro,Sydney
Kellyville,NSW,2155,metro,Sydney
Killara,NSW,2071,metro,Sydney
Kingsford,NSW,2032,metro,Sydney
Kogarah,NSW,2217,metro,Sydney
Lane Cove,NSW,2066,metro,Sydney
Leichhardt,NSW,2040,metro,Sydney
Lidcombe,NSW,2141,metro,Sydney
Lindfield,NSW,2070,metro,Sydney
Liverpool,NSW,2170,metro,Sydney
Macquarie Park,NSW,2113,metro,Sydney
Manly,NSW,2095,metro,Sydney
Marrickville,NSW,2204,metro,Sydney
Marsden Park,NSW,2765,metro,Sydney
Mascot,NSW,2020,metro,Sydney
Merrylands,NSW,2160,metro,Sydney
Milsons Point,NSW,2061,metro,Sydney
Mosman,NSW,2088,metro,Sydney
Mount Druitt,NSW,2770,metro,Sydney
Newtown,NSW,2042,metro,Sydney
North Sydney,NSW,2060,metro,Sydney
Paddington,NSW,2021,metro,Sydney
Parramatta,NSW,2150,metro,Sydney
Peakhurst,NSW,2210,metro,Sydney
Pendle Hill,NSW,2145,metro,Sydney
Penshurst,NSW,2222,metro,Sydney
Petersham,NSW,2044,metro,Sydney
Port Melbourne,VIC,3207,metro,Melbourne
Pyrmont,NSW,2009,metro,Sydney
Quakers Hill,NSW,2763,metro,Sydney
Randwick,NSW,2031,metro,Sydney
Redfern,NSW,2016,metro,Sydney
Rhodes,NSW,2138,metro,Sydney
